Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
"23 Design, engineering, science and transport professionals",2346 Medical laboratory scientist,234611 Medical laboratory scientist,Female,8587,70077,68528,67787,67744,72140,70191
"23 Design, engineering, science and transport professionals",2346 Medical laboratory scientist,234611 Medical laboratory scientist,Male,3720,90627,83781,87572,84971,94151,86048
"23 Design, engineering, science and transport professionals",2346 Medical laboratory scientist,234611 Medical laboratory scientist,Total,12307,76289,72636,73754,72320,78791,74570
"23 Design, engineering, science and transport professionals",2347 Veterinarian,234711 Scientist - veterinarian,Female,5821,71315,64660,63707,62927,75399,69165
"23 Design, engineering, science and transport professionals",2347 Veterinarian,234711 Scientist - veterinarian,Male,3027,105739,89326,83089,80000,112242,95610
"23 Design, engineering, science and transport professionals",2347 Veterinarian,234711 Scientist - veterinarian,Total,8848,83092,72069,70262,67821,87998,76809
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234911 Conservator,Female,299,59610,59564,56169,58871,61595,61170
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234911 Conservator,Male,151,49505,43391,46952,36843,53380,44029
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234911 Conservator,Total,450,56219,56341,53117,56003,58838,58338
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234912 Metallurgist,Female,227,107443,94260,102061,90533,109475,96020
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234912 Metallurgist,Male,1388,138880,118856,127803,115539,142265,122979
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234912 Metallurgist,Total,1615,134461,116170,124158,112565,137653,119207
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234913 Meteorologist,Female,202,93785,94252,91110,89768,95801,97509
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234913 Meteorologist,Male,527,111860,108845,103261,105944,114074,111573
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234913 Meteorologist,Total,729,106851,103428,99884,103926,109011,105734
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234914 Medical physicist,Female,692,87685,84795,84807,83564,90851,87421
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234914 Medical physicist,Male,1976,113695,103489,106519,102375,116974,106149
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234914 Medical physicist,Total,2668,106949,98838,100863,97894,110188,101495
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234915 Physiologist - exercise,Female,1147,48570,48485,46787,47071,51629,51873
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234915 Physiologist - exercise,Male,897,54799,54439,53101,55262,58165,57940
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234915 Physiologist - exercise,Total,2044,51303,51008,49554,50810,54497,54355
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234999 Polymer scientist,Female,742,54076,52252,51820,51436,56404,55006
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234999 Polymer scientist,Male,800,71002,68921,68782,68797,75089,72624
"23 Design, engineering, science and transport professionals",2349 Other natural or physical science professional,234999 Polymer scientist,Total,1542,62857,60430,60611,59990,66086,63438
24 Education professionals,2400 Teacher - type not specified,240000 Teacher - type not specified,Female,883,56278,54428,52525,50705,58755,57094
24 Education professionals,2400 Teacher - type not specified,240000 Teacher - type not specified,Male,405,63587,67405,59992,65316,66262,69099
24 Education professionals,2400 Teacher - type not specified,240000 Teacher - type not specified,Total,1288,58576,57584,54850,55675,61115,60542
24 Education professionals,2410 School teacher - type not specified,241000 School teacher - type not specified,Female,190,54374,47497,49530,46188,57102,53780
24 Education professionals,2410 School teacher - type not specified,241000 School teacher - type not specified,Male,91,53808,43679,46702,39247,55781,45434
24 Education professionals,2410 School teacher - type not specified,241000 School teacher - type not specified,Total,281,54191,47215,48611,45209,56673,49844
24 Education professionals,2411 Pre-school or kindergarten teacher,241111 Governess - teaching (pre-primary),Female,21166,51169,47810,48351,47133,53380,50032
24 Education professionals,2411 Pre-school or kindergarten teacher,241111 Governess - teaching (pre-primary),Male,568,57336,55498,55044,54592,59697,57625
24 Education professionals,2411 Pre-school or kindergarten teacher,241111 Governess - teaching (pre-primary),Total,21734,51330,47893,48526,47271,53545,50099
24 Education professionals,2412 Infant or primary school teacher,241213 Governess - teaching (primary level),Female,142701,63705,65191,62428,66309,66490,68058
24 Education professionals,2412 Infant or primary school teacher,241213 Governess - teaching (primary level),Male,22886,73073,75787,73496,78319,76100,79116
24 Education professionals,2412 Infant or primary school teacher,241213 Governess - teaching (primary level),Total,165587,65000,66711,63958,67875,67818,69661
24 Education professionals,2413 Middle school teacher,241311 Middle school teacher,Female,7700,65232,64967,61506,65226,67899,67965
24 Education professionals,2413 Middle school teacher,241311 Middle school teacher,Male,2814,72205,75615,71887,77903,75299,78985
24 Education professionals,2413 Middle school teacher,241311 Middle school teacher,Total,10514,67099,67799,64288,68571,69880,70955
24 Education professionals,2414 Secondary school teacher,241411 Governess - teaching (secondary level),Female,92371,70399,71884,69291,73282,73578,75172
24 Education professionals,2414 Secondary school teacher,241411 Governess - teaching (secondary level),Male,56476,78174,81582,78586,84922,81681,85400
24 Education professionals,2414 Secondary school teacher,241411 Governess - teaching (secondary level),Total,148847,73349,75687,72817,77553,76653,79176
24 Education professionals,2415 Special needs teacher,241511 Remedial teacher,Female,12036,57426,53702,55691,52431,60179,56313
24 Education professionals,2415 Special needs teacher,241511 Remedial teacher,Male,2020,63623,65619,62939,67429,66676,68971
24 Education professionals,2415 Special needs teacher,241511 Remedial teacher,Total,14056,58317,55381,56731,54597,61113,58276
24 Education professionals,2415 Special needs teacher,241512 School teacher - of the hearing impaired,Female,368,61291,59121,57561,57835,64927,63202
24 Education professionals,2415 Special needs teacher,241512 School teacher - of the hearing impaired,Male,45,68582,73782,68174,70940,72049,76385
24 Education professionals,2415 Special needs teacher,241512 School teacher - of the hearing impaired,Total,413,62085,60397,58720,58640,65703,63700
24 Education professionals,2415 Special needs teacher,241513 School teacher - of the sight impaired,Female,128,71457,58427,59511,58259,75526,62148
24 Education professionals,2415 Special needs teacher,241513 School teacher - of the sight impaired,Male,24,67505,76734,70294,76925,73272,81006
24 Education professionals,2415 Special needs teacher,241513 School teacher - of the sight impaired,Total,152,70833,60254,61236,59043,75170,65911
24 Education professionals,2415 Special needs teacher,241599 Distance education teacher,Female,796,54594,51704,51918,50245,57236,55300
24 Education professionals,2415 Special needs teacher,241599 Distance education teacher,Male,287,60406,60892,58544,60344,63202,65395
24 Education professionals,2415 Special needs teacher,241599 Distance education teacher,Total,1083,56134,54755,53661,53204,58818,58495
