Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
13 Specialist managers,1325 Research and development manager,132511 Manager - research and development,Total,10824,97100,84446,90628,83403,100835,87635
13 Specialist managers,1331 Construction manager,133100 Builder - type not specified,Female,2,23065,23065,16715,16715,23328,23328
13 Specialist managers,1331 Construction manager,133100 Builder - type not specified,Male,44,48044,40405,47692,43854,51455,44603
13 Specialist managers,1331 Construction manager,133100 Builder - type not specified,Total,46,46958,39727,46284,41697,50232,43116
13 Specialist managers,1331 Construction manager,133111 Builder - construction project manager,Female,3486,85002,75194,82724,74566,89225,79232
13 Specialist managers,1331 Construction manager,133111 Builder - construction project manager,Male,47213,108360,93972,103884,94038,114261,99875
13 Specialist managers,1331 Construction manager,133111 Builder - construction project manager,Total,50699,106754,92411,102426,92465,112540,98101
13 Specialist managers,1331 Construction manager,133112 Builder - professional,Female,744,76478,67885,74535,67183,79954,71428
13 Specialist managers,1331 Construction manager,133112 Builder - professional,Male,11234,83187,66641,69686,62774,87838,71560
13 Specialist managers,1331 Construction manager,133112 Builder - professional,Total,11978,82770,66720,69995,63141,87348,71543
13 Specialist managers,1332 Engineering manager,133211 Engineer - engineering manager,Female,1331,124344,107210,118523,106491,128220,111468
13 Specialist managers,1332 Engineering manager,133211 Engineer - engineering manager,Male,23921,148737,125654,137307,122000,153669,130667
13 Specialist managers,1332 Engineering manager,133211 Engineer - engineering manager,Total,25252,147451,124769,136312,121156,152327,129612
13 Specialist managers,"1333 Importer, exporter or wholesaler",133311 Exporter,Female,364,61963,54670,57499,55730,63696,56708
13 Specialist managers,"1333 Importer, exporter or wholesaler",133311 Exporter,Male,443,80815,63554,76487,63600,84221,65885
13 Specialist managers,"1333 Importer, exporter or wholesaler",133311 Exporter,Total,807,72312,59344,67850,60000,74963,61505
13 Specialist managers,"1333 Importer, exporter or wholesaler",133312 Director - wholesaling company,Female,826,96012,54420,50350,40170,99366,56612
13 Specialist managers,"1333 Importer, exporter or wholesaler",133312 Director - wholesaling company,Male,2195,129598,69310,74653,59118,134428,72682
13 Specialist managers,"1333 Importer, exporter or wholesaler",133312 Director - wholesaling company,Total,3021,120415,65354,68061,52966,124839,67842
13 Specialist managers,1334 Manufacturer,133411 Factory manager,Female,2766,55713,49136,53279,50568,58153,51978
13 Specialist managers,1334 Manufacturer,133411 Factory manager,Male,17611,76273,68490,73931,69435,79134,71456
13 Specialist managers,1334 Manufacturer,133411 Factory manager,Total,20377,73482,65855,71131,66566,76285,68596
13 Specialist managers,1335 Production manager,133511 Forestry production manager,Female,70,69808,70590,70194,70527,71601,70706
13 Specialist managers,1335 Production manager,133511 Forestry production manager,Male,802,97320,85565,92184,83594,100351,87575
13 Specialist managers,1335 Production manager,133511 Forestry production manager,Total,872,95111,84348,90434,82494,98043,86086
13 Specialist managers,1335 Production manager,133512 Director - manufacturing company,Female,1801,96010,74379,77767,68601,99695,76944
13 Specialist managers,1335 Production manager,133512 Director - manufacturing company,Male,9382,117208,91661,100434,89144,120854,94799
13 Specialist managers,1335 Production manager,133512 Director - manufacturing company,Total,11183,113794,88924,96827,85772,117447,91907
13 Specialist managers,1335 Production manager,133513 Manager - mining production,Female,253,161633,119338,146631,122861,165509,122400
